Year,1986,1987,1988,1989,1990,1991,1993,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2021,2022
MOST IMPORTANT,51.77595628,51.61111111,49.33469806,52.9,50.51664753,51.93482688,53.44325897,53.48837209,51.34564644,49.36170213,48.47020934,49.72191324,48.73271889,46.13065327,45.52183568,42.69829503,44.89795918,43.47305389,42.24405377,41.69909209,49.28099495,47.21011334
2ND IMPORTANT,17.4863388,18.66666667,18.21903787,18.3,19.6326062,16.39511202,14.93695441,17.13852376,17.09762533,18.29787234,19.05528717,20.35595106,18.77880184,19.39698492,21.09548483,18.53224611,18.36734694,18.56287425,17.99379524,19.97405966,22.58064516,21.75239756
3RD IMPORTANT,13.79781421,11.61111111,12.89662231,10.1,10.33295063,13.23828921,12.12415131,11.72901921,12.77044855,13.82978723,14.33172303,13.12569522,12.44239631,15.47738693,14.1376758,16.01186064,16.85563114,16.94610778,17.83867632,17.44487678,15.97357171,16.95727986
4TH IMPORTANT,11.33879781,11.55555556,12.99897646,12.9,12.62916188,13.74745418,13.57904947,12.79069767,13.72031662,13.67021277,14.27804616,12.23581758,14.86175115,15.77889447,14.58179127,17.56856931,14.8904006,16.70658683,17.32161324,15.75875486,10.18266615,11.72624237
LEAST IMPORTANT,5.601092896,6.555555556,6.550665302,5.8,6.888633754,4.684317719,5.916585839,4.85338726,5.065963061,4.840425532,3.8647343,4.560622914,5.184331797,3.216080402,4.663212435,5.18902891,4.988662132,4.311377246,4.601861427,5.123216602,1.982122037,2.35396687
